Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
4	119809996	119982402	SYNPO2
7	44418720	44530479	NUDCD3
12	57914493	57923931	MBD6
22	37956454	37965412	CDC42EP1
9	36336393	36487545	RNF38
3	52082935	52090566	DUSP7
7	6201407	6312275	CYTH3
17	61972275	61974021	CSH1
1	2252692	2323146	MORN1
19	58990879	59023780	SLC27A5
5	119799973	120023027	PRR16
7	84624869	84816171	SEMA3D
22	37966255	37978623	LGALS2
1	26856252	26901521	RPS6KA1
16	3019246	3023490	PAQR4
4	1694527	1714282	SLBP
9	136271186	136283164	REXO4
HSCHR6_MHC_COX	32111094	32140316	NOTCH4
19	46286205	46296060	DMWD
14	88471468	88478419	GPR65
2	219575568	219620139	TTLL4
19	59024897	59050278	ZBTB45
18	2847028	2915991	EMILIN2
14	39644387	39652422	PNN
16	71392616	71424341	CALB2
16	3062457	3064506	CLDN9
X	154299695	154351349	BRCC3
14	88649113	88793251	KCNK10
19	46298968	46318577	RSPH6A
16	3064713	3070072	CLDN6
5	43065278	43192123	ZNF131
6	34433916	34503006	PACSIN1
6	43005355	43021683	CUL7
18	2916992	3013313	LPIN2
15	40697686	40728146	IVD
3	15642848	15687329	BTD
16	3068446	3072384	TNFRSF12A
11	18551156	18610294	UEVLD
4	187025573	187093821	FAM149A
2	85569211	85581743	RETSAT
19	59055458	59062089	TRIM28
X	47092089	47107727	USP11
7	151253197	151574210	PRKAG2
8	22224762	22291642	SLC39A14
15	44580927	44707956	CASC4
22	23237555	23238014	IGLC1
22	38004481	38029571	GGA1
4	120056939	120108944	MYOZ2
3	45959396	46037316	FYCO1
19	34112861	34264414	CHST8
22	23247030	23247205	IGLJ3
12	51441745	51454207	LETMD1
16	3072621	3074287	HCFC1R1
10	120967101	121215131	GRK5
22	23248512	23248973	IGLC3
13	60970591	61148012	TDRD3
4	79472673	79531597	ANXA3
1	224544552	224567161	CNIH4
HSCHR6_MHC_MANN	30740183	30755207	FLOT1
19	46318668	46366548	SYMPK
HSCHR6_MHC_SSTO	30592831	30593097	PTMAP1
1	2323267	2336883	RER1
7	94463216	94463759	ARF1P1
8	48173167	48648868	SPIDR
15	40731920	40760441	BAHD1
19	34286838	34306668	KCTD15
9	36572859	36677678	MELK
7	100136834	100165842	AGFG2
15	72533522	72565340	PARP6
4	120133742	120216672	USP53
19	10764937	10803093	ILF3
3	183892477	183901879	AP2M1
1	64058947	64125916	PGM1
4	1717679	1723085	TMEM129
1	151955391	151966866	S100A10
14	68143518	68162531	RDH11
18	43563502	43652238	PSTPIP2
5	121297656	121411265	SRFBP1
X	47229982	47273704	ZNF157
11	62414320	62420774	INTS5
18	3066805	3220106	MYOM1
22	23412540	23467224	GNAZ
HSCHR6_MHC_MANN	30755673	30757028	IER3
5	71616194	71656052	PTCD2
16	3074028	3077756	THOC6
8	99114572	99129469	HRSP12
9	136279478	136324508	ADAMTS13
X	47305278	47342345	ZNF41
1	152004982	152020383	S100A11
10	11784365	11806069	ECHDC3
3	15708743	15901278	ANKRD28
5	147763498	147822399	FBXO38
4	1723227	1746898	TACC3
8	145149930	145152428	CYC1
12	120648250	120703574	PXN
17	4848947	4852356	PFN1
2	175212750	175260443	CIR1
13	66876967	67804468	PCDH9
10	10216193	10216540	TCEB1P3
22	23487513	23506537	RAB36
11	69455855	69469242	CCND1
17	55938604	56032684	CUEDC1
1	224572845	224624735	WDR26
16	71481500	71496998	ZNF23
11	18714669	18726332	TMEM86A
5	121398890	121413980	LOX
2	233562009	233725285	GIGYF2
8	99129525	99172062	POP1
2	27476552	27498685	SLC30A3
X	154425284	154468098	VBP1
1	152078793	152086556	TCHH
3	145787227	145881440	PLOD2
13	70274726	70682591	KLHL1
X	47420516	47431307	ARAF
1	64239693	64647181	ROR1
22	38030661	38062939	SH3BP1
11	117156402	117186975	BACE1
19	59062933	59066491	CHMP2A
15	44719432	44821236	CTDSPL2
17	40910465	40915059	RAMP2
1	2336236	2345236	PEX10
7	86273230	86494200	GRM3
8	145153536	145163027	SHARPIN
17	9799637	9808938	RCVRN
6	34505579	34524110	SPDEF
8	22298332	22398652	PPP3CC
17	4851387	4860426	ENO3
HG325_PATCH	50325164	50330027	IFRD2
4	79697496	79837526	BMP2K
19	34663409	34720420	LSM14A
3	120315156	120321347	NDUFB4
19	59067079	59070327	UBE2M
1	152274651	152297679	FLG
10	52750945	54058110	PRKG1
3	186560463	186576252	ADIPOQ
13	72012098	72441330	DACH1
19	49792895	49828482	SLC6A16
11	8932686	8941631	AKIP1
X	47431303	47479252	SYN1
12	10310902	10324737	OLR1
17	35766965	35839835	TADA2A
11	69467844	69490184	ORAOV1
10	104678050	104849978	CNNM2
18	43664110	43684300	ATP5A1
6	34555065	34664636	C6orf106
HSCHR6_MHC_MANN	30893440	30912617	DDR1
16	3096682	3110727	MMP25
X	154505500	154563966	CLIC2
22	38071615	38075813	LGALS1
HSCHR6_MHC_SSTO	31420864	31423498	HCP5
17	40925454	40931617	VPS25
9	36833272	37034103	PAX5
X	47441712	47446188	TIMP1
8	99202061	99306621	NIPAL2
1	152381719	152386739	CRNN
2	74153953	74186088	DGUOK
21	45748827	45759285	C21orf2
10	121259340	121302220	RGS10
11	62443970	62446567	UBXN1
18	71920530	71959251	CYB5A
6	31895475	31919825	CFB
22	38077680	38170137	NOL12
2	98330023	98356325	ZAP70
11	8941623	8954553	C11orf16
1	224622362	224928251	CNIH3
1	152486978	152488486	CRCT1
X	154686576	154688276	F8A3
4	120238405	120243545	FABP2
17	9813926	10101868	GAS7
13	73302061	73330336	BORA
22	23521891	23660224	BCR
X	154689080	154689596	H2AFB3
X	47483612	47489704	CFP
4	39500375	39529931	UGDH
4	1795034	1810599	FGFR3
19	46386866	46389376	IRF2BP1
1	2357419	2436969	PLCH2
19	34745442	34846491	KIAA0355
15	44829255	44855227	EIF3J
8	99413631	99955055	STK3
X	154719776	154899605	TMLHE
15	40861499	40866659	RPUSD2
16	31191431	31203127	FUS
12	1099675	1605099	ERC1
9	136325089	136335970	CACFD1
19	46436992	46476804	NOVA2
1	65210778	65298915	RAVER2
5	96096521	96143803	ERAP1
X	47494920	47510003	ELK1
1	152647771	152659877	LCE2B
11	8959119	8964580	ASCL3
14	88851268	88936694	SPATA7
19	59073298	59084942	MZF1
HSCHR6_MHC_COX	32209049	32287940	C6orf10
6	31919864	31926887	NELFE
HSCHR6_MHC_DBB	31570625	31587723	PRRC2A
2	192109911	192290115	MYO1B
22	38093011	38172563	TRIOBP
9	37120536	37358146	ZCCHC7
X	99899215	99926296	SRPX2
2	219646472	219680016	CYP27A1
9	136336217	136344259	SLC2A6
X	47511197	47518560	UXT
10	74127098	74385899	MICU1
15	40886218	40956540	CASC5
2	74229840	74335303	TET3
19	49838428	49846592	CD37
1	152691998	152692905	C1orf68
1	27022524	27108595	ARID1A
4	79808281	79860592	PAQR3
1	65298912	65432187	JAK1
13	73329540	73356234	DIS3
3	186648274	186796341	ST6GAL1
21	45770046	45862964	TRPM2
X	47696301	47861960	ZNF81
5	169673241	169725231	LCP2
11	69587797	69590171	FGF4
HSCHR6_MHC_QBL	31597040	31610723	BAG6
14	21853353	21924285	CHD8
11	69624992	69633792	FGF3
4	120415550	120550146	PDE5A
19	34850385	34893061	GPI
HSCHR6_MHC_COX	32308863	32323110	BTNL2
X	47834250	47863377	ZNF182
3	120347020	120401418	HGD
3	52232102	52248343	ALAS1
HG325_PATCH	50325175	50330350	IFRD2
HSCHR6_MHC_MANN	30920643	30926565	GTF2H4
12	39040624	39301232	CPNE8
22	38201114	38203442	H1F0
6	83870869	83903655	PGM3
9	136397286	136440641	ADAMTSL2
16	31212806	31214771	PYCARD
HG325_PATCH	50330263	50336900	HYAL3
8	99956631	99964332	OSR2
1	152850793	152857523	SMCP
22	38203912	38213183	GCAT
X	53963109	54075391	PHF8
18	72163051	72188366	CNDP2
9	37422663	37436987	GRHPR
5	660883	693510	TPPP
1	65613232	65697828	AK4
11	69924408	70035634	ANO1
13	73356197	73590591	PIBF1
1	152881021	152884362	IVL
HG325_PATCH	50333834	50336853	NAT6
10	124591665	124639146	CUZD1
4	80146848	80247204	NAA11
6	111195973	111216916	AMD1
9	136501482	136524466	DBH
4	80327508	80329372	GK2
HSCHR6_MHC_COX	32355870	32361037	HLA-DRA
14	102027688	102029789	DIO3
22	38219389	38221502	GALR3
11	19138646	19197969	ZDHHC13
11	62457747	62477317	BSCL2
20	20348765	20351590	INSM1
X	48045656	48056199	SSX5
10	104845940	104953056	NT5C2
X	129535943	129547317	RBMX2
3	120405528	120461840	RABL3
7	100169855	100183776	LRCH4
1	152956557	152958289	SPRR1A
4	39699664	39784412	UBE2K
11	117185273	117283984	CEP164
5	710471	851101	ZDHHC11
X	48114752	48126879	SSX1
16	31271311	31344213	ITGAM
HG325_PATCH	50337321	50349813	HYAL1
1	152974223	152976332	SPRR3
13	73629114	73651676	KLF5
7	6414154	6443608	RAC1
16	71559136	71572649	CHST4
18	3247479	3256234	MYL12A
2	74379655	74406025	MOB1A
X	48205863	48216142	SSX3
12	57923885	57941114	DCTN2
1	65713902	65881552	DNAJC6
1	153003678	153005376	SPRR1B
16	71599563	71611033	TAT
9	37438111	37465396	ZBTB5
13	74260226	74708394	KLF12
1	153012201	153014407	SPRR2D
12	122957417	122985518	ZCCHC8
X	48242863	48252785	SSX4
7	44552134	44580914	NPC1L1
15	40986972	41024354	RAD51
X	100075384	100095921	CSTF2
18	3261907	3278282	MYL12B
12	10365057	10375727	GABARAPL1
5	169780491	170163636	KCNIP1
1	225589204	225616627	LBR
HSCHR6_MHC_COX	32475947	32506554	HLA-DRB1
9	37485932	37503694	POLR1E
1	2439972	2458039	PANK4
9	136528682	136605077	SARDH
2	74425689	74444692	MTHFD2
2	160569000	160627538	MARCH7
HSCHR6_MHC_COX	32981428	32987014	HLA-DPA2
22	38244875	38285414	EIF3L
14	39699435	39722859	MIA2
19	10812106	10824113	QTRT1
1	27113963	27124889	PIGV
17	38296571	38328436	CASC3
4	187130133	187179625	KLKB1
4	39824483	39979576	PDS5A
13	75858808	76056250	TBC1D4
18	3411606	3458409	TGIF1
17	56048910	56065620	VEZF1
1	225674537	225840844	ENAH
18	43753519	43846949	C18orf25
X	155110956	155173433	VAMP7
1	153232176	153234598	LOR
5	137523339	137549032	CDC23
1	65886248	66107242	LEPR
8	22402499	22433301	SORBS3
12	120740119	120751052	SIRT4
14	102228135	102394326	PPP2R5C
17	79876146	79885590	MAFG
X	48316920	48328644	SLC38A5
HSCHR6_MHC_DBB	33037464	33043006	HLA-DPA2
1	27153201	27184093	ZDHHC18
16	71671738	71758604	PHLPP2
10	97071528	97321171	SORBS1
12	133398773	133532890	CHFR
17	56080721	56084707	SRSF1
1	153302596	153321316	PGLYRP4
1	2487078	2496821	TNFRSF14
11	19203578	19232120	CSRP3
4	187187099	187210835	F11
16	3115298	3131908	IL32
12	102590237	102591623	PMCH
5	169801675	169816681	KCNMB1
1	225965531	225978168	SRP9
14	68194091	68283307	ZFYVE26
12	94542499	94701451	PLXNC1
21	45875369	45878739	LRRC3
22	38301664	38338829	MICALL1
16	31366455	31394318	ITGAX
1	65886270	65901690	LEPROT
19	49865040	49878373	DKKL1
1	225997794	226033260	EPHX1
15	44854894	44955876	SPG11
1	153330330	153333503	S100A9
17	79890260	79900288	PYCR1
5	147830595	148056798	HTR4
1	153346184	153348125	S100A12
HSCHR6_MHC_COX	32550273	32557884	HLA-DQB1
4	187454809	187476721	MTNR1A
5	170190354	170241051	GABRP
X	48334541	48344752	FTSJ1
11	70049269	70053496	FADD
11	19245610	19263167	E2F8
9	37650997	37746901	FRMPD1
1	153362508	153363664	S100A8
12	120759914	120765592	PLA2G1B
5	137588068	137610360	GFRA3
9	136627016	136857726	VAV2
13	76123619	76180085	UCHL3
X	100098313	100129334	NOX1
12	122989190	123011547	RSRC2
1	226033237	226070069	TMEM63A
4	187508937	187647876	FAT1
7	116916685	116963343	WNT2
1	153389000	153395701	S100A7A
19	2328614	2355099	SPPL2B
12	120779133	120806983	MSI1
4	1813206	1857974	LETM1
1	27189633	27190947	SFN
1	66258197	66840259	PDE4B
3	45982425	45989845	CXCR6
6	111408781	111552397	SLC16A10
1	27202624	27216788	GPN2
6	83903098	83908651	RWDD2A
3	46058516	46069234	XCR1
3	120461484	120501916	GTF2E1
21	46188955	46221934	UBE2G2
8	48649471	48651648	CEBPD
10	11962021	12085169	UPF2
22	38348614	38437922	POLR2F
11	70116806	70230509	PPFIA1
HG1293_PATCH	206098792	206166009	C1orf186
6	2765648	2787186	WRNIP1
1	27216979	27226957	GPATCH3
3	46205096	46308197	CCR3
1	153507075	153508720	S100A6
6	111580551	111592370	KIAA1919
6	83920108	84140797	ME1
2	160625364	160654753	CD302
HG1293_PATCH	206173253	206181260	AVPR1B
HSCHR6_MHC_COX	32647573	32655029	HLA-DQB2
15	72635775	72668817	HEXA
8	100025494	100889808	VPS13B
19	10828755	10944164	DNM2
X	48367350	48379202	PORCN
1	153509623	153514241	S100A5
12	120875893	120878545	COX6A1
1	27226729	27273353	NUDC
1	226073982	226099082	LEFTY1
16	71762913	71843104	AP1G1
22	38366693	38383429	SOX10
11	62475130	62476673	GNG3
10	46994087	47005643	GPRIN2
HG1293_PATCH	206266906	206527996	SRGAP2
9	37766975	37801434	EXOSC3
9	136895427	136933657	BRD3
14	21944756	21967319	TOX4
10	47083534	47088320	NPY4R
11	62480102	62494821	HNRNPUL2
2	98372799	98612388	TMEM131
1	153516089	153522612	S100A4
3	145910126	145968966	PLSCR4
1	226107578	226111978	PYCR2
2	219724544	219738955	WNT6
10	53455247	53459355	CSTF2T
7	44605016	44614650	DDX56
HSCHR6_MHC_QBL	31610434	31616227	APOM
3	52262626	52273276	TWF2
10	54074056	54077802	DKK1
9	37800499	37867663	DCAF10
5	137620954	137674044	CDC25C
11	62515791	62521660	ZBTB3
22	38452318	38471708	PICK1
5	121647049	121799914	SNCAIP
8	48685669	48872743	PRKDC
4	120976763	120988229	MAD2L1
7	100169855	100171270	SAP25
2	219824377	219826876	CDK5R2
HG1293_PATCH	206534037	206560450	IKBKE
17	56270098	56282535	EPX
7	6485584	6523873	KDELR2
1	153519805	153521848	S100A3
2	219845809	219850379	FEV
5	170288874	170727019	RANBP17
11	62529016	62534182	POLR2G
10	54525140	54531460	MBL2
17	4862521	4871167	SPAG7
5	72112139	72212560	TNPO1
5	148206156	148208196	ADRB2
4	1873151	1983934	WHSC1
1	27237980	27240457	NR0B2
18	3496030	4455335	DLGAP1
3	120626919	121143608	STXBP5L
17	38333263	38351908	RAPGEFL1
13	76194570	76434004	LMO7
9	137208944	137332431	RXRA
9	37919131	38069210	SHB
6	2832566	2842240	SERPINB1
3	16299485	16306479	DPH3
HSCHR6_MHC_QBL	31616315	31618789	C6orf47
1	226124298	226129189	LEFTY2
1	153533584	153540366	S100A2
9	38392661	38398658	ALDH1B1
11	62538775	62554814	TAF6L
9	38408991	38424444	IGFBPL1
HG1293_PATCH	206571091	206652844	RASSF5
18	72265106	72777627	ZNF407
3	16306706	16391806	OXNAD1
HSCHR17_1	43513192	43568077	PLEKHM1
16	3162561	3170518	ZNF205
22	38474141	38480100	SLC16A8
7	100181605	100198740	FBXO24
3	46243200	46249887	CCR1
19	2538108	2538786	TCEB1P28
4	121606074	121844025	PRDM5
1	27425306	27493472	SLC9A1
5	148303202	148442726	SH3TC2
3	46395225	46402419	CCR2
HG1293_PATCH	206634853	206676024	EIF2D
1	153579362	153585621	S100A16
11	62539101	62559493	TMEM223
9	137533620	137736686	COL5A1
1	226249552	226259702	H3F3A
3	46411633	46417697	CCR5
17	10201401	10276447	MYH13
19	34919257	34960853	UBA2
16	31439052	31439967	COX6A2
11	62554887	62557877	TMEM179B
16	3179778	3192806	ZNF213
2	207040040	207082771	GPR1
2	74443369	74570541	SLC4A5
1	153586731	153589462	S100A14
2	128193783	128284462	IWS1
3	46448654	46454488	CCRL2
12	94700225	94853764	CCDC41
3	71803201	71805647	GPR27
21	46225532	46238694	SUMO3
12	102789645	102874423	IGF1
HSCHR6_MHC_MANN	31123949	31125285	C6orf15
1	226332380	226374431	ACBD3
18	72922710	73001905	TSHZ1
5	850406	892939	BRD9
HSCHR6_MHC_MANN	31127487	31152786	PSORS1C1
X	1520662	1532921	ASMTL-AS1
11	117690878	117747382	FXYD6-FXYD2
7	151722759	151819425	GALNT11
14	88932122	89021077	PTPN21
12	51454990	51477447	CSRNP2
16	3254247	3255188	OR1F1
HSCHR6_MHC_MANN	31127873	31133179	CDSN
1	153591263	153606568	S100A13
HSCHR6_MHC_MANN	31150282	31152098	PSORS1C2
9	39072764	39288312	CNTNAP3
4	191001979	191003777	DUX4L4
21	46269500	46293752	PTTG1IP
13	77454312	77460540	KCTD12
1	67263424	67266939	INSL5
X	48379546	48387104	EBP
2	219854911	219858143	CRYBA2
22	38507502	38601697	PLA2G6
X	129757350	130037208	ENOX2
2	207308263	207485851	ADAM23
13	77564795	77576652	CLN5
16	3272325	3286221	ZNF200
14	21966277	21979517	METTL3
1	153600402	153604513	S100A1
9	137772654	137779924	FCN2
8	22435792	22455538	PDLIM2
2	160628362	160761260	LY75
11	62559595	62573774	NXF1
HSCHR6_MHC_QBL	31623259	31631569	CSNK2B
3	46477136	46526724	LTF
18	5289018	5297052	ZBTB14
17	40947165	40950722	COA3
X	48397845	48420997	TBC1D25
11	117707693	117748201	FXYD6
9	137801431	137809809	FCN1
7	86781677	86825653	DMTF1
18	74069644	74207146	ZNF516
17	38375556	38440388	WIPF2
7	117105838	117356025	CFTR
1	67278568	67390570	WDR78
19	35168544	35177302	ZNF302
9	39355699	39361956	SPATA31A1
16	31482906	31489281	TGFB1I1
11	70244510	70282690	CTTN
4	81105033	81125483	PRDM8
6	2887500	2903514	SERPINB9
6	29690552	29706305	HLA-F
15	45003675	45011075	B2M
HSCHR6_MHC_MANN	31155177	31170971	CCHCR1
1	153606525	153618782	CHTOP
9	137967268	138013025	OLFM1
20	21376005	21378666	NKX2-4
20	21491648	21494664	NKX2-2
17	4871287	4890960	CAMTA2
16	3292028	3306627	MEFV
5	122110691	122165803	SNX2
8	564746	688106	ERICH1
20	21686297	21696620	PAX1
3	186838736	186898696	RPL39L
6	111620234	111804918	REV3L
2	37070783	37193615	STRN
X	54094757	54209714	FAM120C
22	38597889	38612518	MAFF
7	6617065	6629005	ZDHHC4
10	105036920	105050108	INA
4	121956768	121994176	NDNF
20	22561643	22566093	FOXA2
3	146109208	146213778	PLSCR2
20	23016057	23017314	SSTR4
1	226548392	226595780	PARP1
1	27561007	27635110	WDTC1
20	23026270	23030378	THBD
11	19372271	20143144	NAV2
17	74070875	74073622	GALR2
12	51487446	51566926	TFCP2
X	100264335	100307105	TRMT2B
8	1449532	1656642	DLGAP2
22	38615298	38669040	TMEM184B
9	138370925	138380739	PPP1R26
16	3313743	3351401	ZNF263
4	81187753	81257834	FGF5
12	103230663	103352188	PAH
19	10943114	10946994	TMED1
20	23059986	23066977	CD93
4	419224	467918	ABCA11P
9	138387027	138393580	C9orf116
8	145486055	145515082	BOP1
21	46305868	46351904	ITGB2
HSCHR6_MHC_COX	32702866	32707151	HLA-DOB
HSCHR6_MHC_QBL	31634707	31642059	LY6G5C
15	72766667	72879692	ARIH1
3	72420976	72496069	RYBP
9	138391830	138396519	MRPS2
X	48432837	48437454	RBM3
12	120881764	120884215	TRIAP1
3	16355081	16555533	RFTN1
17	10293639	10325267	MYH8
12	120884241	120899389	GATC
18	74534563	74682683	ZNF236
6	43021767	43027544	MRPL2
3	72798428	72911065	SHQ1
4	40192673	40248587	RHOH
13	77618792	77901185	MYCBP2
19	10982189	11033453	CARM1
HSCHR6_MHC_MANN	31171310	31176939	TCF19
9	138413284	138418378	LCN1
12	120899471	120907596	SRSF9
16	3405889	3406924	OR2C1
8	1703944	1734738	CLN8
19	4903092	4962165	UHRF1
20	23331373	23335414	NXT1
6	31926857	31937532	SKIV2L
16	3415099	3536960	NAA60
12	10378657	10469850	KLRD1
16	71879899	71962913	IST1
1	226736501	226796915	C1orf95
X	130407480	130533677	IGSF1
9	138437985	138441815	OBP2A
4	40337346	40357234	CHRNA9
1	2985732	3355185	PRDM16
7	100199800	100205798	PCOLCE
HSCHR6_MHC_COX	32711936	32728881	TAP2
22	38686697	38794527	CSNK1E
3	121150278	121264853	POLQ
4	1984441	2043630	NELFA
HSCHR6_MHC_MANN	31172166	31183436	POU5F1
1	226819391	226927024	ITPKB
7	6629648	6648357	C7orf26
1	153634512	153643524	ILF2
19	11033444	11039357	YIPF2
17	38443885	38459171	CDC6
16	3432085	3451065	ZSCAN32
2	192542794	192561385	NABP1
4	122052563	122148621	TNIP3
3	52279841	52284613	PPM1M
9	138453602	138458801	PAEP
4	40425272	40632892	RBM47
2	233631174	233641278	KCNJ13
11	62574369	62599560	STX5
1	27648651	27662891	TMEM222
14	21989232	22005350	SALL2
12	51580719	51611477	POU6F1
12	120907653	120936296	DYNLL1
17	74077087	74117657	EXOC7
14	39734488	39856156	CTAGE5
16	31494323	31502181	SLC5A2
8	1772142	1906807	ARHGEF10
3	121311966	121349139	FBXO40
HSCHR6_MHC_DBB	31588979	31602664	BAG6
3	16628299	16711813	DAZL
1	227057885	227083806	PSEN2
16	3451235	3459370	ZNF174
22	38822332	38851205	KCNJ4
X	100333709	100351353	TMEM35
17	10346607	10372876	MYH4
3	186935942	187009810	MASP1
22	38864067	38879452	KDELR3
4	81952119	81978685	BMP3
12	120941077	120972237	COQ5
12	10524952	10562745	KLRC4-KLRK1
17	38465444	38513094	RARA
6	84262599	84419410	SNAP91
11	117857063	117872196	IL10RA
11	70313961	70963623	SHANK2
18	5392383	5630699	EPB41L3
4	82009837	82136218	PRKG2
16	31500792	31520630	C16orf58
4	2251804	2251883	MIR4800
3	121350246	121379774	HCLS1
6	2948393	2972090	SERPINB6
10	105127724	105148822	TAF5
HSCHR6_MHC_COX	32730817	32734804	PSMB8
22	38879445	38903665	DDX17
19	49932658	49945617	SLC17A7
8	48872745	48890720	MCM4
3	52288437	52322036	WDR82
4	2936626	2963465	NOP14-AS1
5	170736288	170739138	TLX3
HSCHR6_MHC_MANN	31280024	31283395	HLA-C
1	227085237	227175246	ADCK3
15	72978527	73030817	BBS4
18	74690783	74845639	MBP
14	89029253	89079853	ZC3H14
3	16844159	17132086	PLCL2
7	44617493	44621886	TMED4
16	3493611	3536963	NAA60
X	48448430	48463581	WDR13
8	100885428	100906290	COX6C
11	62599814	62609281	WDR74
10	47191844	47239738	AGAP10
4	122589110	122618268	ANXA5
3	52321105	52329272	GLYCTK
HSCHR6_MHC_QBL	31664920	31675931	LY6G6D
HG905_PATCH	184465	304637	ZMYND11
12	95414005	95467479	NR2C1
12	51632076	51665146	DAZAP2
1	3370990	3397677	ARHGEF16
5	170814120	170838141	NPM1
19	49949555	49956754	PIH1D1
6	43044006	43129457	PTK7
6	2988221	3019996	NQO2
5	43289497	43313614	HMGCS1
7	6728064	6746554	ZNF12
17	28521337	28563020	SLC6A4
22	38914954	38966291	DMC1
HSCHR6_MHC_MANN	31364707	31368080	HLA-B
5	137667624	137685416	FAM53C
17	79934683	79975282	ASPSCR1
HG883_PATCH	26646121	26655707	TMEM97
HSCHR6_MHC_QBL	31670355	31671831	LY6G6E
14	22293636	22294239	TRAV10
11	117947753	117992605	TMPRSS4
1	67465015	67519782	SLC35D1
1	153651113	153666468	NPR1
X	54466834	54471920	TSR2
13	78109809	78219398	SCEL
7	44646171	44748665	OGDH
8	1922044	1955102	KBTBD11
12	10559983	10562356	KLRC4
1	3406484	3528059	MEGF6
20	23471738	23476655	CST8
X	100353178	100418670	CENPI
HSCHR6_MHC_QBL	31676607	31684720	C6orf25
6	29794744	29798902	HLA-G
X	54471887	54522599	FGD1
16	3550924	3589048	CLUAP1
HSCHR6_MHC_MANN	31410600	31427049	MICA
19	49956426	49974305	ALDH16A1
20	23608534	23619110	CST3
8	1993155	2113475	MYOM2
8	145515280	145538385	HSF1
12	120971283	121015397	RNF10
15	45315302	45369383	SORD
3	17198654	18486309	TBC1D5
20	23666277	23669677	CST4
16	71893583	71929239	ZNF821
9	138700333	138799074	CAMSAP1
14	68286496	69196935	RAD51B
4	40751914	40812002	NSUN7
22	39052641	39069859	CBY1
20	23728190	23731905	CST1
2	233897382	233899767	NEU2
HSCHR6_MHC_MANN	31512918	31518423	MICB
2	47387221	47403740	CALM2
10	74766975	74856732	P4HA1
20	23804406	23807368	CST2
7	100209725	100213007	MOSPD3
20	23856572	23860387	CST5
17	38544768	38574202	TOP2A
3	146232967	146262651	PLSCR1
HSCHR6_MHC_QBL	31676661	31679858	LY6G6C
17	56282803	56296966	MKS1
22	39077953	39080818	TOMM22
11	62623518	62656352	SLC3A2
21	46493768	46646478	ADARB1
20	23965690	23969416	GGTLC1
11	71139239	71163914	DHCR7
20	24449835	24647252	SYNDIG1
22	39081548	39097561	JOSD1
15	45384848	45406542	DUOX2
X	100474758	100519486	DRP2
14	102430865	102517129	DYNC1H1
19	49977464	49989488	FLT3LG
13	78272023	78338377	SLAIN1
X	48534985	48549818	WAS
2	160788519	160919121	PLA2R1
9	138824815	138853226	UBAC1
1	27681675	27693383	MAP3K6
5	137688285	137772717	KDM3B
HSCHR6_MHC_QBL	31685048	31688627	DDAH2
14	22320735	22321183	TRAV8-3
14	22337020	22337546	TRAV13-1
15	73043710	73078187	ADPGK
14	22356037	22356682	TRAV12-2
3	73045936	73118350	PPP4R2
12	1639057	1756409	WNT5B
2	192699028	192711981	SDPR
2	233924677	234116549	INPP5D
12	133562951	133589154	ZNF26
X	15693055	15721847	CA5BP1
22	39101728	39134304	GTPBP1
16	3589033	3627401	NLRC3
2	9628615	9695921	ADAM17
1	3541566	3546691	TPRG1L
HG883_PATCH	26655352	26662515	IFT20
16	72042487	72058954	DHODH
5	892758	919472	TRIP13
9	138898383	138987131	NACC2
20	24929866	24940564	CST7
3	46556913	46621589	LRRC2
X	54556644	54587504	GNL3L
2	37326353	37384208	EIF2AK2
HSCHR6_MHC_COX	32734237	32769688	PSMB9
2	85621871	85645555	CAPG
4	8176148	8176726	GMPSP1
13	78469616	78493903	EDNRB
11	20385231	20405329	HTATIP2
1	3547331	3569325	WRAP73
20	24943561	24973615	APMAP
19	11071598	11176071	SMARCA4
1	27695603	27701315	FCN3
9	139088096	139096955	LHX3
7	100218039	100240402	TFR2
19	35531410	35557475	HPN
12	1675159	1703331	FBXL14
6	3064225	3115421	RIPK1
HSCHR5_1_CTG1	68530666	68573234	CDK7
1	67773047	67862583	IL12RB2
12	57943781	57980415	KIF5A
12	1797740	1897844	ADIPOR2
1	153700543	153746555	INTS3
17	10395624	10421860	MYH1
10	105156405	105206049	PDCD11
8	145539954	145550573	DGAT1
HSCHR6_MHC_MANN	31537515	31553854	DDX39B
19	9376066	9377015	OR7E19P
HSCHR6_MHC_QBL	31688591	31697781	CLIC1
3	46616045	46668033	TDGF1
13	79172497	79177673	POU4F1
1	227177566	227506175	CDC42BPA
4	83273651	83295656	HNRNPD
14	22386363	22386931	TRAV13-2
8	22477931	22526661	BIN3
6	111877657	111927481	TRAF3IP2
16	72078188	72128330	TXNL4B
19	49990811	49995565	RPL13A
13	79188426	79233314	RNF219
14	22409313	22409848	TRAV9-2
1	27719148	27722318	GPR3
14	22446699	22447360	TRAV8-6
19	9930630	9930770	SNORA70
12	133613878	133639885	ZNF84
14	22458735	22459177	TRAV16
17	40962152	40985367	BECN1
22	39130730	39190148	SUN2
5	122179134	122365049	SNX24
14	22520773	22521315	TRAV21
1	27730730	27816669	WASF2
12	51638342	51664674	SMAGP
16	3661729	3730144	DNASE1
4	40812044	41218731	APBB2
17	56295909	56345879	LPO
14	22615949	22616587	TRAV27
